"Date";"Field";"Treatment";"Ganguil";"Taxa";"Stage";"Abundance"
2025-08-20;"5";"BE";"B";"Misgurnus anguillicaudatus";"AD";1
2025-08-20;"5";"BE";"B";"Procambarus clarkii";"AD";1
2025-08-20;"5";"BE";"B";"Procambarus clarkii";"JUV";7
2025-08-20;"5";"FE";"A";"Procambarus clarkii";"AD";7
2025-08-20;"5";"FE";"A";"Procambarus clarkii";"JUV";42
2025-08-20;"5";"FE";"B";"Procambarus clarkii";"AD";4
2025-08-20;"5";"FE";"B";"Procambarus clarkii";"JUV";32
2025-08-20;"5";"FO";"A";"Procambarus clarkii";"AD";1
2025-08-20;"5";"FO";"A";"Procambarus clarkii";"JUV";6
2025-08-20;"5";"FO";"A";"Procambarus clarkii";"ALEV";1
2025-08-20;"5";"FO";"B";"Procambarus clarkii";"JUV";2
2025-08-20;"5";"FO";"B";"Pelophylax perezi";"AD";1
2025-08-20;"5";"FO";"B";"Pelophylax perezi";"RENAC";1
